# set xran [0.0:0.4952434096741833]
# plot for [ii=2:49] 'pyband.dat' u 1:ii with line lc rgb '#000' t ''
# 
    0.0000     0.0000     0.0430     0.0080     0.1150     0.0000     0.0000     0.0010     0.1090     0.0000     0.0170     0.1080     0.0130     0.0840     0.2550     0.0000     0.0200     0.4640     0.0480     0.0000     0.1330     0.0000     0.0050     0.0790     0.0260     0.3650     0.0000     0.0000     0.8890     0.7940     0.0000     0.0000     0.0020     0.0060     0.3130     0.0760     0.4590     0.0230     0.0090     0.0080     0.0040     0.0570     0.0040     0.0130     0.0140     0.0520     0.0250     0.0080     0.0530
    0.0063     0.0000     0.0430     0.0080     0.1150     0.0000     0.0000     0.0010     0.1110     0.0000     0.0170     0.1080     0.0130     0.0850     0.2520     0.0000     0.0200     0.4640     0.0480     0.0000     0.1330     0.0000     0.0050     0.0800     0.0300     0.3640     0.0000     0.0000     0.8870     0.7900     0.0000     0.0000     0.0020     0.0080     0.3110     0.0770     0.4590     0.0230     0.0090     0.0080     0.0040     0.0580     0.0030     0.0110     0.0140     0.0510     0.0260     0.0090     0.0620
    0.0125     0.0000     0.0430     0.0060     0.1120     0.0000     0.0000     0.0010     0.1190     0.0000     0.0170     0.1090     0.0150     0.0800     0.2450     0.0000     0.0200     0.4640     0.0460     0.0000     0.1310     0.0000     0.0070     0.0880     0.0400     0.3620     0.0000     0.0000     0.8760     0.7790     0.0000     0.0000     0.0020     0.0140     0.3080     0.0800     0.4590     0.0210     0.0090     0.0080     0.0040     0.0620     0.0010     0.0100     0.0140     0.0470     0.0210     0.0210     0.0520
    0.0188     0.0000     0.0410     0.0050     0.1090     0.0000     0.0000     0.0010     0.1310     0.0000     0.0160     0.1100     0.0190     0.0710     0.2350     0.0000     0.0200     0.4640     0.0460     0.0000     0.1270     0.0010     0.0070     0.1000     0.0540     0.3630     0.0000     0.0000     0.8610     0.7590     0.0000     0.0000     0.0030     0.0200     0.3050     0.0840     0.4590     0.0210     0.0090     0.0070     0.0040     0.0670     0.0010     0.0100     0.0160     0.0440     0.0170     0.0190     0.0440
    0.0250     0.0000     0.0400     0.0070     0.1050     0.0000     0.0000     0.0030     0.1480     0.0000     0.0190     0.1100     0.0280     0.0600     0.2200     0.0000     0.0210     0.4640     0.0430     0.0000     0.1200     0.0010     0.0080     0.1160     0.0700     0.3670     0.0000     0.0000     0.8400     0.7330     0.0000     0.0000     0.0060     0.0270     0.3070     0.0860     0.4590     0.0220     0.0090     0.0070     0.0040     0.0690     0.0010     0.0110     0.0130     0.0440     0.0090     0.0190     0.0410
    0.0313     0.0000     0.0390     0.0060     0.1010     0.0000     0.0000     0.0030     0.1700     0.0000     0.0200     0.1100     0.0420     0.0480     0.2010     0.0000     0.0210     0.4640     0.0410     0.0000     0.1130     0.0040     0.0090     0.1360     0.0860     0.3740     0.0000     0.0000     0.8130     0.7050     0.0000     0.0090     0.0000     0.0350     0.3110     0.0870     0.4590     0.0230     0.0090     0.0050     0.0040     0.0680     0.0050     0.0110     0.0130     0.0390     0.0050     0.0200     0.0360
    0.0375     0.0000     0.0370     0.0070     0.0950     0.0010     0.0000     0.0050     0.1920     0.0000     0.0240     0.0990     0.0640     0.0370     0.1760     0.0000     0.0230     0.4640     0.0370     0.0000     0.1040     0.0060     0.0110     0.1590     0.1020     0.3800     0.0000     0.0000     0.7830     0.6700     0.0140     0.0010     0.0000     0.0440     0.3160     0.0860     0.4590     0.0220     0.0090     0.0050     0.0050     0.0630     0.0100     0.0100     0.0120     0.0330     0.0070     0.0200     0.0330
    0.0438     0.0000     0.0340     0.0050     0.0150     0.0760     0.0000     0.0050     0.2180     0.0010     0.0310     0.0760     0.0940     0.0340     0.1440     0.0000     0.0240     0.4630     0.0350     0.0000     0.0950     0.0090     0.0130     0.1850     0.1240     0.3850     0.0000     0.0000     0.7490     0.6310     0.0240     0.0010     0.0000     0.0550     0.3230     0.0850     0.4570     0.0220     0.0090     0.0040     0.0050     0.0500     0.0190     0.0060     0.0140     0.0320     0.0080     0.0200     0.0200
    0.0500     0.0000     0.0320     0.0050     0.0040     0.0810     0.0000     0.0080     0.2430     0.0040     0.0440     0.0350     0.1290     0.0550     0.0920     0.0000     0.0250     0.4630     0.0300     0.0000     0.0840     0.0140     0.0150     0.2130     0.1490     0.3840     0.0000     0.0000     0.7130     0.5890     0.0390     0.0020     0.0000     0.0650     0.3290     0.0830     0.4560     0.0210     0.0090     0.0030     0.0050     0.0350     0.0220     0.0060     0.0200     0.0330     0.0180     0.0120     0.0070
    0.0563     0.0000     0.0290     0.0040     0.0040     0.0760     0.0000     0.0110     0.2650     0.0060     0.0540     0.0060     0.1630     0.1010     0.0170     0.0000     0.0270     0.4630     0.0270     0.0000     0.0730     0.0160     0.0190     0.2430     0.1800     0.3730     0.0000     0.0000     0.6760     0.5430     0.0570     0.0040     0.0000     0.0780     0.3350     0.0810     0.4550     0.0210     0.0090     0.0030     0.0040     0.0130     0.0110     0.0220     0.0210     0.0240     0.0280     0.0100     0.0290
