#      dist        eig   iband        s       pz       px       py    dz2r2      dxz      dyz      dxy    dx2y2      fm0     f+m1     f-m1     f+m2     f-m2     f+m3     f-m3  
    0.17048   -8.58426       4    0.303    6.612    6.612   12.345    0.197    0.141    0.020    0.020    0.075    0.007    0.015    0.002    0.001    0.009    0.001    0.001
    0.17048    7.13679       5    1.430    2.469    2.469   12.299    0.876    0.010    0.948    0.948    0.357    0.008    0.018    0.021    0.000    0.029    0.019    0.028
    0.17048    8.31331       6    8.051    4.313    4.313    8.662    0.391    0.001    0.937    0.937    0.424    0.022    0.030    0.028    0.018    0.031    0.024    0.018
    0.18184   -8.45017       4    0.305    6.609    6.609   12.529    0.195    0.147    0.022    0.022    0.075    0.007    0.016    0.002    0.001    0.010    0.001    0.002
    0.18184    7.05088       5    1.469    2.623    2.623   11.955    0.879    0.011    0.940    0.940    0.360    0.008    0.017    0.021    0.000    0.028    0.019    0.029
    0.18184    8.24225       6    8.382    4.364    4.364    8.358    0.376    0.001    0.938    0.938    0.432    0.024    0.030    0.028    0.018    0.030    0.023    0.018
    0.19321   -8.31589       4    0.305    6.604    6.604   12.720    0.193    0.154    0.024    0.024    0.076    0.007    0.016    0.002    0.001    0.010    0.001    0.002
    0.19321    6.96862       5    1.502    2.781    2.781   11.614    0.883    0.011    0.933    0.933    0.363    0.009    0.016    0.022    0.000    0.027    0.019    0.030
    0.19321    8.17133       6    8.685    4.399    4.399    8.092    0.362    0.002    0.939    0.939    0.439    0.025    0.030    0.028    0.019    0.028    0.023    0.017
    0.20457   -8.18164       4    0.302    6.599    6.599   12.918    0.191    0.161    0.026    0.026    0.077    0.007    0.017    0.002    0.001    0.011    0.001    0.002
    0.20457    6.89014       5    1.529    2.942    2.942   11.273    0.887    0.011    0.925    0.925    0.365    0.010    0.016    0.022    0.001    0.026    0.020    0.031
    0.20457    8.10085       6    8.964    4.421    4.421    7.859    0.350    0.002    0.941    0.941    0.446    0.026    0.030    0.027    0.019    0.027    0.023    0.017
