#      dist        eig   iband        s       pz       px       py    dz2r2      dxz      dyz      dxy    dx2y2      fm0     f+m1     f-m1     f+m2     f-m2     f+m3     f-m3  
    0.93950    6.40877       7   21.222    2.440    2.440    2.440    0.000    0.833    0.833    0.833    0.000    0.052    0.020    0.020    0.044    0.000    0.033    0.033
    0.95072   -4.28390       3    0.000   20.934   20.934   20.934    0.090    0.529    0.529    0.529    0.090    0.031    0.024    0.024    0.000    0.020    0.027    0.027
    0.95072    6.23475       5    0.000   17.241   17.241   17.241    0.823    1.146    1.146    1.146    0.823    0.067    0.038    0.038    0.000    0.021    0.050    0.050
    0.95072    6.38338       7   20.730    2.598    2.598    2.598    0.000    0.831    0.831    0.831    0.000    0.052    0.020    0.020    0.044    0.000    0.033    0.033
    0.96193   -4.24072       3    0.000   20.937   20.937   20.937    0.088    0.540    0.540    0.540    0.088    0.031    0.024    0.024    0.000    0.019    0.027    0.027
    0.96193    6.20445       5    0.000   17.339   17.339   17.339    0.784    1.153    1.153    1.153    0.784    0.070    0.039    0.039    0.000    0.021    0.052    0.052
    0.96193    6.35654       7   20.219    2.762    2.762    2.762    0.000    0.829    0.829    0.829    0.000    0.052    0.020    0.020    0.043    0.000    0.033    0.033
    0.97314   -4.19609       3    0.000   20.940   20.940   20.940    0.086    0.552    0.552    0.552    0.086    0.032    0.023    0.023    0.000    0.018    0.027    0.027
    0.97314    6.17148       5    0.000   17.435   17.435   17.435    0.745    1.161    1.161    1.161    0.745    0.072    0.041    0.041    0.000    0.022    0.053    0.053
    0.97314    6.32819       7   19.692    2.931    2.931    2.931    0.000    0.827    0.827    0.827    0.000    0.053    0.020    0.020    0.043    0.000    0.033    0.033
    0.98436   -4.15005       3    0.000   20.945   20.945   20.945    0.083    0.563    0.563    0.563    0.083    0.032    0.023    0.023    0.000    0.018    0.027    0.027
    0.98436    6.13576       5    0.000   17.527   17.527   17.527    0.706    1.169    1.169    1.169    0.706    0.074    0.042    0.042    0.000    0.022    0.055    0.055
    0.98436    6.29825       7   19.146    3.107    3.107    3.107    0.000    0.825    0.825    0.825    0.000    0.053    0.020    0.020    0.043    0.000    0.033    0.033
    0.99557   -4.10261       3    0.000   20.949   20.949   20.949    0.081    0.575    0.575    0.575    0.081    0.032    0.023    0.023    0.000    0.017    0.027    0.027
    0.99557    6.09723       5    0.000   17.617   17.617   17.617    0.668    1.178    1.178    1.178    0.668    0.077    0.043    0.043    0.000    0.022    0.056    0.056
    0.99557    6.26667       7   18.584    3.288    3.288    3.288    0.000    0.823    0.823    0.823    0.000    0.053    0.020    0.020    0.043    0.000    0.033    0.033
    1.00678   -9.90620       2    7.821    6.419    6.419    6.419    0.000    0.214    0.214    0.214    0.000    0.005    0.002    0.002    0.008    0.000    0.003    0.003
    1.00678   -4.05381       3    0.000   20.955   20.955   20.955    0.079    0.587    0.587    0.587    0.079    0.033    0.022    0.022    0.000    0.016    0.027    0.027
    1.00678    6.05584       5    0.000   17.703   17.703   17.703    0.629    1.186    1.186    1.186    0.629    0.079    0.044    0.044    0.000    0.023    0.058    0.058
    1.00678    6.23336       7   18.007    3.475    3.475    3.475    0.000    0.820    0.820    0.820    0.000    0.053    0.020    0.020    0.042    0.000    0.033    0.033
    1.01799   -9.67259       2    7.639    6.522    6.522    6.522    0.000    0.222    0.222    0.222    0.000    0.005    0.002    0.002    0.007    0.000    0.003    0.003
    1.01799   -4.00369       3    0.000   20.961   20.961   20.961    0.076    0.599    0.599    0.599    0.076    0.033    0.022    0.022    0.000    0.016    0.027    0.027
    1.01799    6.01154       5    0.000   17.784   17.784   17.784    0.591    1.195    1.195    1.195    0.591    0.081    0.045    0.045    0.000    0.023    0.059    0.059
    1.01799    6.19826       7   17.413    3.667    3.667    3.667    0.000    0.818    0.818    0.818    0.000    0.053    0.020    0.020    0.042    0.000    0.033    0.033
    1.02921   -9.43801       2    7.452    6.626    6.626    6.626    0.000    0.230    0.230    0.230    0.000    0.005    0.002    0.002    0.007    0.000    0.003    0.003
    1.02921   -3.95228       3    0.000   20.968   20.968   20.968    0.074    0.611    0.611    0.611    0.074    0.034    0.022    0.022    0.000    0.015    0.027    0.027
    1.02921    5.96431       5    0.000   17.861   17.861   17.861    0.554    1.204    1.204    1.204    0.554    0.083    0.046    0.046    0.000    0.023    0.061    0.061
    1.02921    6.16128       7   16.806    3.863    3.863    3.863    0.000    0.815    0.815    0.815    0.000    0.054    0.020    0.020    0.041    0.000    0.034    0.034
    1.04042   -9.20259       2    7.260    6.733    6.733    6.733    0.000    0.238    0.238    0.238    0.000    0.006    0.002    0.002    0.007    0.000    0.003    0.003
    1.04042   -3.89963       3    0.000   20.976   20.976   20.976    0.071    0.624    0.624    0.624    0.071    0.034    0.022    0.022    0.000    0.014    0.027    0.027
    1.04042    5.91417       5    0.000   17.932   17.932   17.932    0.517    1.212    1.212    1.212    0.517    0.085    0.046    0.046    0.000    0.023    0.062    0.062
    1.04042    6.12234       7   16.185    4.064    4.064    4.064    0.000    0.813    0.813    0.813    0.000    0.054    0.020    0.020    0.040    0.000    0.034    0.034
    1.05163   -8.96642       2    7.064    6.842    6.842    6.842    0.000    0.247    0.247    0.247    0.000    0.006    0.002    0.002    0.007    0.000    0.004    0.004
    1.05163   -3.84578       3    0.000   20.985   20.985   20.985    0.069    0.637    0.637    0.637    0.069    0.034    0.021    0.021    0.000    0.014    0.027    0.027
    1.05163    5.86113       5    0.000   17.998   17.998   17.998    0.482    1.221    1.221    1.221    0.482    0.087    0.047    0.047    0.000    0.023    0.063    0.063
    1.05163    6.08136       7   15.553    4.269    4.269    4.269    0.000    0.810    0.810    0.810    0.000    0.054    0.020    0.020    0.040    0.000    0.034    0.034
    1.06285   -8.72964       2    6.864    6.952    6.952    6.952    0.000    0.255    0.255    0.255    0.000    0.006    0.002    0.002    0.006    0.000    0.004    0.004
    1.06285   -3.79078       3    0.000   20.995   20.995   20.995    0.066    0.650    0.650    0.650    0.066    0.035    0.021    0.021    0.000    0.013    0.027    0.027
    1.06285    5.80523       5    0.000   18.058   18.058   18.058    0.447    1.230    1.230    1.230    0.447    0.089    0.048    0.048    0.000    0.023    0.064    0.064
    1.06285    6.03827       7   14.909    4.478    4.478    4.478    0.000    0.807    0.807    0.807    0.000    0.054    0.020    0.020    0.039    0.000    0.034    0.034
    1.07406   -8.49236       2    6.660    7.064    7.064    7.064    0.000    0.264    0.264    0.264    0.000    0.006    0.002    0.002    0.006    0.000    0.004    0.004
    1.07406   -3.73468       3    0.000   21.005   21.005   21.005    0.064    0.663    0.663    0.663    0.064    0.035    0.021    0.021    0.000    0.012    0.027    0.027
    1.07406    5.74654       5    0.000   18.111   18.111   18.111    0.413    1.238    1.238    1.238    0.413    0.091    0.048    0.048    0.000    0.023    0.065    0.065
    1.07406    5.99296       7   14.256    4.690    4.690    4.690    0.000    0.804    0.804    0.804    0.000    0.055    0.021    0.021    0.038    0.000    0.034    0.034
    1.08527   -8.25472       2    6.453    7.178    7.178    7.178    0.000    0.272    0.272    0.272    0.000    0.007    0.003    0.003    0.006    0.000    0.004    0.004
    1.08527   -3.67754       3    0.000   21.017   21.017   21.017    0.061    0.676    0.676    0.676    0.061    0.035    0.021    0.021    0.000    0.012    0.027    0.027
    1.08527    5.68513       5    0.000   18.159   18.159   18.159    0.381    1.247    1.247    1.247    0.381    0.093    0.049    0.049    0.000    0.023    0.066    0.066
    1.08527    5.94537       7   13.596    4.904    4.904    4.904    0.000    0.801    0.801    0.801    0.000    0.055    0.021    0.021    0.037    0.000    0.034    0.034
    1.09648   -8.01686       2    6.242    7.294    7.294    7.294    0.000    0.281    0.281    0.281    0.000    0.007    0.003    0.003    0.005    0.000    0.004    0.004
    1.09648   -3.61943       3    0.000   21.030   21.030   21.030    0.059    0.690    0.690    0.690    0.059    0.036    0.020    0.020    0.000    0.011    0.027    0.027
    1.09648    5.62110       5    0.000   18.199   18.199   18.199    0.350    1.255    1.255    1.255    0.350    0.094    0.049    0.049    0.000    0.022    0.067    0.067
    1.09648    5.89540       7   12.930    5.120    5.120    5.120    0.000    0.798    0.798    0.798    0.000    0.055    0.021    0.021    0.036    0.000    0.034    0.034
    1.10770   -7.77891       2    6.028    7.411    7.411    7.411    0.000    0.290    0.290    0.290    0.000    0.007    0.003    0.003    0.005    0.000    0.005    0.005
    1.10770   -3.56040       3    0.000   21.044   21.044   21.044    0.057    0.703    0.703    0.703    0.057    0.036    0.020    0.020    0.000    0.010    0.027    0.027
    1.10770    5.55459       5    0.000   18.233   18.233   18.233    0.320    1.263    1.263    1.263    0.320    0.096    0.050    0.050    0.000    0.022    0.068    0.068
    1.10770    5.84298       7   12.259    5.337    5.337    5.337    0.000    0.795    0.795    0.795    0.000    0.055    0.021    0.021    0.035    0.000    0.035    0.035
    1.11891   -7.49644       2    5.816    7.450    7.450    7.450    0.000    0.294    0.294    0.294    0.000    0.008    0.003    0.003    0.006    0.000    0.005    0.005
    1.11891   -3.46778       3    0.000   20.973   20.973   20.973    0.044    0.715    0.715    0.715    0.044    0.032    0.021    0.021    0.000    0.014    0.025    0.025
    1.11891    5.49500       5    0.000   18.249   18.249   18.249    0.276    1.290    1.290    1.290    0.276    0.095    0.047    0.047    0.000    0.018    0.067    0.067
    1.11891    5.80327       7   11.703    5.489    5.489    5.489    0.000    0.812    0.812    0.812    0.000    0.056    0.021    0.021    0.033    0.000    0.035    0.035
    1.13012   -7.25802       2    5.597    7.570    7.570    7.570    0.000    0.303    0.303    0.303    0.000    0.008    0.003    0.003    0.006    0.000    0.005    0.005
    1.13012   -3.40816       3    0.000   20.992   20.992   20.992    0.042    0.729    0.729    0.729    0.042    0.033    0.020    0.020    0.000    0.013    0.025    0.025
    1.13012    5.42324       5    0.000   18.270   18.270   18.270    0.251    1.296    1.296    1.296    0.251    0.097    0.048    0.048    0.000    0.018    0.067    0.067
    1.13012    5.74585       7   11.026    5.708    5.708    5.708    0.000    0.809    0.809    0.809    0.000    0.057    0.021    0.021    0.032    0.000    0.035    0.035
    1.14134   -7.02001       2    5.375    7.691    7.691    7.691    0.000    0.312    0.312    0.312    0.000    0.009    0.003    0.003    0.005    0.000    0.005    0.005
    1.14134   -3.34785       3    0.000   21.013   21.013   21.013    0.040    0.743    0.743    0.743    0.040    0.033    0.020    0.020    0.000    0.012    0.025    0.025
    1.14134    5.34950       5    0.000   18.285   18.285   18.285    0.227    1.302    1.302    1.302    0.227    0.098    0.048    0.048    0.000    0.018    0.068    0.068
    1.14134    5.68570       7   10.350    5.927    5.927    5.927    0.000    0.805    0.805    0.805    0.000    0.057    0.021    0.021    0.031    0.000    0.036    0.036
    1.15255   -6.78257       2    5.150    7.814    7.814    7.814    0.000    0.321    0.321    0.321    0.000    0.009    0.003    0.003    0.005    0.000    0.006    0.006
    1.15255   -3.28694       3    0.000   21.035   21.035   21.035    0.038    0.756    0.756    0.756    0.038    0.034    0.019    0.019    0.000    0.011    0.025    0.025
    1.15255    5.27398       5    0.000   18.294   18.294   18.294    0.205    1.308    1.308    1.308    0.205    0.099    0.048    0.048    0.000    0.017    0.069    0.069
    1.15255    5.62275       7    9.679    6.144    6.144    6.144    0.000    0.801    0.801    0.801    0.000    0.057    0.021    0.021    0.029    0.000    0.036    0.036
    1.16376   -6.54592       2    4.924    7.938    7.938    7.938    0.000    0.330    0.330    0.330    0.000    0.009    0.004    0.004    0.005    0.000    0.006    0.006
    1.16376   -3.22553       3    0.000   21.058   21.058   21.058    0.035    0.770    0.770    0.770    0.035    0.034    0.019    0.019    0.000    0.010    0.025    0.025
    1.16376    5.19690       5    0.000   18.296   18.296   18.296    0.184    1.313    1.313    1.313    0.184    0.101    0.048    0.048    0.000    0.017    0.069    0.069
    1.16376    5.55697       7    9.014    6.358    6.358    6.358    0.000    0.797    0.797    0.797    0.000    0.057    0.021    0.021    0.028    0.000    0.036    0.036
    1.17498   -6.31027       2    4.696    8.064    8.064    8.064    0.000    0.339    0.339    0.339    0.000    0.010    0.004    0.004    0.005    0.000    0.006    0.006
    1.17498   -3.16373       3    0.000   21.082   21.082   21.082    0.033    0.784    0.784    0.784    0.033    0.035    0.019    0.019    0.000    0.009    0.025    0.025
    1.17498    5.11849       5    0.000   18.292   18.292   18.292    0.164    1.318    1.318    1.318    0.164    0.102    0.048    0.048    0.000    0.016    0.069    0.069
    1.17498    5.48833       7    8.359    6.569    6.569    6.569    0.000    0.793    0.793    0.793    0.000    0.058    0.022    0.022    0.026    0.000    0.036    0.036
    1.18619   -6.08112       2    4.459    8.201    8.201    8.201    0.000    0.347    0.347    0.347    0.000    0.010    0.004    0.004    0.005    0.000    0.006    0.006
    1.18619   -3.10409       3    0.000   21.113   21.113   21.113    0.033    0.796    0.796    0.796    0.033    0.034    0.018    0.018    0.000    0.008    0.025    0.025
    1.18619    5.01175       5    0.000   18.371   18.371   18.371    0.160    1.315    1.315    1.315    0.160    0.089    0.043    0.043    0.000    0.016    0.061    0.061
    1.18619    5.39571       7    7.683    6.822    6.822    6.822    0.000    0.788    0.788    0.788    0.000    0.053    0.020    0.020    0.026    0.000    0.033    0.033
    1.19740   -5.84812       2    4.228    8.329    8.329    8.329    0.000    0.356    0.356    0.356    0.000    0.010    0.004    0.004    0.005    0.000    0.006    0.006
    1.19740   -3.04187       3    0.000   21.141   21.141   21.141    0.031    0.810    0.810    0.810    0.031    0.035    0.018    0.018    0.000    0.008    0.025    0.025
    1.19740    4.93073       5    0.000   18.358   18.358   18.358    0.143    1.319    1.319    1.319    0.143    0.090    0.043    0.043    0.000    0.015    0.062    0.062
    1.19740    5.32058       7    7.054    7.024    7.024    7.024    0.000    0.783    0.783    0.783    0.000    0.053    0.020    0.020    0.025    0.000    0.033    0.033
    1.20861   -5.61687       2    3.995    8.459    8.459    8.459    0.000    0.365    0.365    0.365    0.000    0.011    0.004    0.004    0.004    0.000    0.007    0.007
    1.20861   -2.97963       3    0.000   21.169   21.169   21.169    0.029    0.824    0.824    0.824    0.029    0.035    0.018    0.018    0.000    0.007    0.025    0.025
    1.20861    4.84917       5    0.000   18.341   18.341   18.341    0.128    1.322    1.322    1.322    0.128    0.090    0.043    0.043    0.000    0.014    0.062    0.062
    1.20861    5.24262       7    6.443    7.219    7.219    7.219    0.000    0.778    0.778    0.778    0.000    0.053    0.020    0.020    0.023    0.000    0.033    0.033
    1.21983   -5.38756       2    3.763    8.590    8.590    8.590    0.000    0.374    0.374    0.374    0.000    0.011    0.004    0.004    0.004    0.000    0.007    0.007
    1.21983   -2.89698       3    0.000   21.166   21.166   21.166    0.027    0.815    0.815    0.815    0.027    0.038    0.020    0.020    0.000    0.009    0.027    0.027
    1.21983    4.77934       5    0.000   18.289   18.289   18.289    0.118    1.311    1.311    1.311    0.118    0.087    0.041    0.041    0.000    0.014    0.060    0.060
    1.21983    5.19205       7    5.861    7.354    7.354    7.354    0.000    0.780    0.780    0.780    0.000    0.054    0.020    0.020    0.017    0.000    0.033    0.033
    1.23104   -5.16071       2    3.530    8.721    8.721    8.721    0.000    0.383    0.383    0.383    0.000    0.011    0.004    0.004    0.004    0.000    0.007    0.007
    1.23104   -2.83585       3    0.000   21.199   21.199   21.199    0.025    0.828    0.828    0.828    0.025    0.038    0.019    0.019    0.000    0.008    0.027    0.027
    1.23104    4.69748       5    0.000   18.262   18.262   18.262    0.105    1.313    1.313    1.313    0.105    0.088    0.041    0.041    0.000    0.013    0.060    0.060
    1.23104    5.10881       7    5.290    7.534    7.534    7.534    0.000    0.774    0.774    0.774    0.000    0.054    0.020    0.020    0.016    0.000    0.033    0.033
    1.24225   -4.93656       2    3.297    8.854    8.854    8.854    0.000    0.392    0.392    0.392    0.000    0.012    0.004    0.004    0.004    0.000    0.007    0.007
    1.24225   -2.77520       3    0.000   21.233   21.233   21.233    0.023    0.842    0.842    0.842    0.023    0.039    0.019    0.019    0.000    0.007    0.027    0.027
    1.24225    4.61598       5    0.000   18.231   18.231   18.231    0.092    1.315    1.315    1.315    0.092    0.088    0.041    0.041    0.000    0.012    0.060    0.060
    1.24225    5.02300       7    4.742    7.704    7.704    7.704    0.000    0.769    0.769    0.769    0.000    0.053    0.020    0.020    0.014    0.000    0.033    0.033
    1.25347   -4.71549       2    3.064    8.987    8.987    8.987    0.000    0.402    0.402    0.402    0.000    0.012    0.005    0.005    0.003    0.000    0.008    0.008
    1.25347   -2.71520       3    0.000   21.268   21.268   21.268    0.021    0.855    0.855    0.855    0.021    0.039    0.019    0.019    0.000    0.007    0.027    0.027
    1.25347    4.53516       5    0.000   18.197   18.197   18.197    0.081    1.316    1.316    1.316    0.081    0.088    0.040    0.040    0.000    0.011    0.060    0.060
    1.25347    4.93480       7    4.222    7.864    7.864    7.864    0.000    0.763    0.763    0.763    0.000    0.053    0.020    0.020    0.013    0.000    0.033    0.033
    1.26468   -4.49794       2    2.833    9.121    9.121    9.121    0.000    0.411    0.411    0.411    0.000    0.013    0.005    0.005    0.003    0.000    0.008    0.008
    1.26468   -2.65605       3    0.000   21.305   21.305   21.305    0.019    0.868    0.868    0.868    0.019    0.039    0.018    0.018    0.000    0.006    0.027    0.027
    1.26468    4.45537       5    0.000   18.159   18.159   18.159    0.070    1.317    1.317    1.317    0.070    0.089    0.040    0.040    0.000    0.011    0.059    0.059
    1.26468    4.84445       7    3.730    8.012    8.012    8.012    0.000    0.757    0.757    0.757    0.000    0.053    0.020    0.020    0.012    0.000    0.033    0.033
    1.27589   -4.28437       2    2.604    9.256    9.256    9.256    0.000    0.420    0.420    0.420    0.000    0.013    0.005    0.005    0.003    0.000    0.008    0.008
    1.27589   -2.59797       3    0.000   21.342   21.342   21.342    0.017    0.881    0.881    0.881    0.017    0.040    0.018    0.018    0.000    0.005    0.027    0.027
    1.27589    4.37694       5    0.000   18.119   18.119   18.119    0.061    1.317    1.317    1.317    0.061    0.089    0.039    0.039    0.000    0.010    0.059    0.059
    1.27589    4.75223       7    3.267    8.149    8.149    8.149    0.000    0.751    0.751    0.751    0.000    0.053    0.020    0.020    0.011    0.000    0.033    0.033
    1.28710   -4.07530       2    2.376    9.390    9.390    9.390    0.000    0.429    0.429    0.429    0.000    0.014    0.005    0.005    0.003    0.000    0.009    0.009
    1.28710   -2.54116       3    0.000   21.380   21.380   21.380    0.016    0.894    0.894    0.894    0.016    0.040    0.018    0.018    0.000    0.005    0.027    0.027
    1.28710    4.30022       5    0.000   18.076   18.076   18.076    0.053    1.317    1.317    1.317    0.053    0.089    0.039    0.039    0.000    0.009    0.059    0.059
    1.28710    4.65849       7    2.837    8.274    8.274    8.274    0.000    0.744    0.744    0.744    0.000    0.053    0.020    0.020    0.010    0.000    0.033    0.033
    1.29832   -3.80995       2    2.157    9.466    9.466    9.466    0.000    0.414    0.414    0.414    0.000    0.016    0.006    0.006    0.001    0.000    0.010    0.010
    1.29832   -2.48559       3    0.000   21.417   21.417   21.417    0.014    0.908    0.908    0.908    0.014    0.040    0.018    0.018    0.000    0.004    0.027    0.027
    1.29832    4.23060       5    0.000   18.012   18.012   18.012    0.046    1.326    1.326    1.326    0.046    0.090    0.038    0.038    0.000    0.007    0.059    0.059
    1.29832    4.58555       7    2.421    8.357    8.357    8.357    0.000    0.728    0.728    0.728    0.000    0.049    0.018    0.018    0.008    0.000    0.031    0.031
    1.30953   -3.61356       2    1.936    9.602    9.602    9.602    0.000    0.423    0.423    0.423    0.000    0.017    0.006    0.006    0.001    0.000    0.011    0.011
    1.30953   -2.43206       3    0.000   21.456   21.456   21.456    0.012    0.919    0.919    0.919    0.012    0.040    0.017    0.017    0.000    0.004    0.027    0.027
    1.30953    4.15810       5    0.000   17.968   17.968   17.968    0.039    1.324    1.324    1.324    0.039    0.090    0.038    0.038    0.000    0.006    0.059    0.059
    1.30953    4.49127       7    2.057    8.454    8.454    8.454    0.000    0.721    0.721    0.721    0.000    0.049    0.018    0.018    0.007    0.000    0.031    0.031
    1.32074   -3.42374       2    1.719    9.738    9.738    9.738    0.000    0.432    0.432    0.432    0.000    0.017    0.006    0.006    0.001    0.000    0.011    0.011
    1.32074   -2.38054       3    0.000   21.495   21.495   21.495    0.010    0.931    0.931    0.931    0.010    0.041    0.017    0.017    0.000    0.003    0.027    0.027
    1.32074    4.08841       5    0.000   17.922   17.922   17.922    0.033    1.323    1.323    1.323    0.033    0.090    0.037    0.037    0.000    0.005    0.058    0.058
    1.32074    4.39705       7    1.726    8.538    8.538    8.538    0.000    0.714    0.714    0.714    0.000    0.049    0.018    0.018    0.006    0.000    0.030    0.030
    1.33196   -3.24129       2    1.508    9.872    9.872    9.872    0.000    0.441    0.441    0.441    0.000    0.018    0.007    0.007    0.001    0.000    0.011    0.011
    1.33196   -2.33131       3    0.000   21.534   21.534   21.534    0.009    0.942    0.942    0.942    0.009    0.041    0.017    0.017    0.000    0.003    0.027    0.027
    1.33196    4.02191       5    0.000   17.876   17.876   17.876    0.027    1.321    1.321    1.321    0.027    0.091    0.037    0.037    0.000    0.005    0.058    0.058
    1.33196    4.30359       7    1.429    8.608    8.608    8.608    0.000    0.707    0.707    0.707    0.000    0.048    0.018    0.018    0.005    0.000    0.030    0.030
    1.34317   -3.06710       2    1.304   10.004   10.004   10.004    0.000    0.449    0.449    0.449    0.000    0.018    0.007    0.007    0.000    0.000    0.011    0.011
    1.34317   -2.28464       3    0.000   21.573   21.573   21.573    0.008    0.952    0.952    0.952    0.008    0.041    0.017    0.017    0.000    0.002    0.027    0.027
    1.34317    3.95898       5    0.000   17.830   17.830   17.830    0.022    1.319    1.319    1.319    0.022    0.091    0.036    0.036    0.000    0.004    0.058    0.058
    1.34317    4.21164       7    1.164    8.665    8.665    8.665    0.000    0.700    0.700    0.700    0.000    0.048    0.018    0.018    0.004    0.000    0.030    0.030
    1.35438   -2.90213       2    1.108   10.133   10.133   10.133    0.000    0.458    0.458    0.458    0.000    0.019    0.007    0.007    0.000    0.000    0.012    0.012
    1.35438   -2.24079       3    0.000   21.610   21.610   21.610    0.006    0.962    0.962    0.962    0.006    0.041    0.017    0.017    0.000    0.002    0.027    0.027
    1.35438    3.89998       5    0.000   17.786   17.786   17.786    0.018    1.317    1.317    1.317    0.018    0.091    0.036    0.036    0.000    0.003    0.058    0.058
    1.35438    4.12208       7    0.931    8.710    8.710    8.710    0.000    0.693    0.693    0.693    0.000    0.048    0.018    0.018    0.004    0.000    0.030    0.030
    1.36559   -2.74745       2    0.922   10.258   10.258   10.258    0.000    0.466    0.466    0.466    0.000    0.019    0.007    0.007    0.000    0.000    0.012    0.012
    1.36559   -2.20006       3    0.000   21.646   21.646   21.646    0.005    0.971    0.971    0.971    0.005    0.042    0.016    0.016    0.000    0.001    0.027    0.027
    1.36559    3.84527       5    0.000   17.743   17.743   17.743    0.014    1.315    1.315    1.315    0.014    0.091    0.036    0.036    0.000    0.003    0.058    0.058
    1.36559    4.03587       7    0.729    8.743    8.743    8.743    0.000    0.687    0.687    0.687    0.000    0.047    0.018    0.018    0.003    0.000    0.030    0.030
    1.37681   -2.60419       2    0.747   10.377   10.377   10.377    0.000    0.473    0.473    0.473    0.000    0.020    0.007    0.007    0.000    0.000    0.012    0.012
    1.37681   -2.16270       3    0.000   21.680   21.680   21.680    0.004    0.979    0.979    0.979    0.004    0.042    0.016    0.016    0.000    0.001    0.027    0.027
    1.37681    3.79521       5    0.000   17.702   17.702   17.702    0.011    1.313    1.313    1.313    0.011    0.091    0.035    0.035    0.000    0.002    0.058    0.058
    1.37681    3.95407       7    0.556    8.765    8.765    8.765    0.000    0.680    0.680    0.680    0.000    0.047    0.018    0.018    0.002    0.000    0.029    0.029
    1.38802   -2.47357       2    0.586   10.488   10.488   10.488    0.000    0.480    0.480    0.480    0.000    0.020    0.007    0.007    0.000    0.000    0.012    0.012
    1.38802   -2.12900       3    0.000   21.711   21.711   21.711    0.003    0.987    0.987    0.987    0.003    0.042    0.016    0.016    0.000    0.001    0.027    0.027
    1.38802    3.75012       5    0.000   17.664   17.664   17.664    0.008    1.311    1.311    1.311    0.008    0.091    0.035    0.035    0.000    0.002    0.057    0.057
    1.38802    3.87783       7    0.411    8.779    8.779    8.779    0.000    0.674    0.674    0.674    0.000    0.047    0.018    0.018    0.002    0.000    0.029    0.029
    1.39923   -2.35684       2    0.440   10.591   10.591   10.591    0.000    0.487    0.487    0.487    0.000    0.020    0.008    0.008    0.000    0.000    0.013    0.013
    1.39923   -2.09921       3    0.000   21.740   21.740   21.740    0.002    0.993    0.993    0.993    0.002    0.042    0.016    0.016    0.000    0.001    0.027    0.027
    1.39923    3.71034       5    0.000   17.630   17.630   17.630    0.006    1.309    1.309    1.309    0.006    0.091    0.035    0.035    0.000    0.001    0.057    0.057
    1.39923    3.80835       7    0.292    8.784    8.784    8.784    0.000    0.669    0.669    0.669    0.000    0.046    0.017    0.017    0.001    0.000    0.029    0.029
    1.41045   -2.25527       2    0.312   10.683   10.683   10.683    0.000    0.492    0.492    0.492    0.000    0.020    0.008    0.008    0.000    0.000    0.013    0.013
    1.41045   -2.07355       3    0.000   21.765   21.765   21.765    0.002    0.999    0.999    0.999    0.002    0.042    0.016    0.016    0.000    0.000    0.027    0.027
    1.41045    3.67614       5    0.000   17.600   17.600   17.600    0.004    1.307    1.307    1.307    0.004    0.091    0.035    0.035    0.000    0.001    0.057    0.057
    1.41045    3.74683       7    0.196    8.784    8.784    8.784    0.000    0.664    0.664    0.664    0.000    0.046    0.017    0.017    0.001    0.000    0.029    0.029
    1.42166   -2.17010       2    0.203   10.762   10.762   10.762    0.000    0.497    0.497    0.497    0.000    0.021    0.008    0.008    0.000    0.000    0.013    0.013
    1.42166   -2.05224       3    0.000   21.786   21.786   21.786    0.001    1.004    1.004    1.004    0.001    0.042    0.016    0.016    0.000    0.000    0.027    0.027
    1.42166    3.64778       5    0.000   17.574   17.574   17.574    0.003    1.305    1.305    1.305    0.003    0.091    0.035    0.035    0.000    0.001    0.057    0.057
    1.42166    3.69449       7    0.122    8.780    8.780    8.780    0.000    0.659    0.659    0.659    0.000    0.046    0.017    0.017    0.001    0.000    0.029    0.029
    1.43287   -2.10248       2    0.116   10.827   10.827   10.827    0.000    0.501    0.501    0.501    0.000    0.021    0.008    0.008    0.000    0.000    0.013    0.013
    1.43287   -2.03547       3    0.000   21.804   21.804   21.804    0.001    1.008    1.008    1.008    0.001    0.042    0.016    0.016    0.000    0.000    0.027    0.027
    1.43287    3.62549       5    0.000   17.554   17.554   17.554    0.001    1.304    1.304    1.304    0.001    0.091    0.034    0.034    0.000    0.000    0.057    0.057
    1.43287    3.65244       7    0.067    8.774    8.774    8.774    0.000    0.656    0.656    0.656    0.000    0.046    0.017    0.017    0.000    0.000    0.029    0.029
    1.44408   -2.05340       2    0.052   10.874   10.874   10.874    0.000    0.504    0.504    0.504    0.000    0.021    0.008    0.008    0.000    0.000    0.013    0.013
    1.44408   -2.02338       3    0.000   21.816   21.816   21.816    0.000    1.010    1.010    1.010    0.000    0.042    0.016    0.016    0.000    0.000    0.027    0.027
    1.44408    3.60943       5    0.000   17.539   17.539   17.539    0.001    1.303    1.303    1.303    0.001    0.091    0.034    0.034    0.000    0.000    0.057    0.057
    1.44408    3.62163       7    0.029    8.769    8.769    8.769    0.000    0.653    0.653    0.653    0.000    0.046    0.017    0.017    0.000    0.000    0.029    0.029
    1.45530   -2.02362       2    0.013   10.903   10.903   10.903    0.000    0.506    0.506    0.506    0.000    0.021    0.008    0.008    0.000    0.000    0.013    0.013
    1.45530   -2.01608       3    0.000   21.824   21.824   21.824    0.000    1.012    1.012    1.012    0.000    0.042    0.016    0.016    0.000    0.000    0.027    0.027
    1.45530    3.59975       5    0.000   17.530   17.530   17.530    0.000    1.303    1.303    1.303    0.000    0.091    0.034    0.034    0.000    0.000    0.057    0.057
