# set xran [0.0:0.4952434096741833]
# plot for [ii=2:49] 'pyband.dat' u 1:ii with line lc rgb '#000' t ''
# 
    0.0625   -14.3572   -13.9995   -13.6985   -13.5762   -13.4055   -13.2679    -6.7697    -6.3502    -5.7146    -5.6152    -5.4275    -5.2116    -4.9559    -4.7325    -4.3717    -4.0391    -3.9592    -2.9687    -2.7445    -2.6869    -2.6383    -2.5295    -2.3915    -2.1659    -2.0543    -1.6409    -1.1195     1.0480     1.1209     1.3362     1.5554     1.7568     1.7919     2.2319     2.6131     2.8916     3.0303     3.4262     3.6447     5.7083     6.1180     6.1574     6.5567     6.8791     7.0462     7.3470     7.4284     7.6160
    0.0688   -14.4685   -14.0952   -13.7982   -13.6389   -13.4477   -13.3356    -6.6857    -6.2734    -5.7022    -5.5267    -5.2939    -5.1105    -4.9283    -4.5818    -4.3574    -3.9670    -3.8910    -2.9189    -2.7277    -2.6565    -2.6203    -2.6129    -2.3157    -2.1270    -2.0305    -1.6331    -1.1972     1.0691     1.0695     1.2795     1.5418     1.7072     1.8202     2.1446     2.5303     2.8406     2.9278     3.3744     3.6072     5.8871     5.9836     6.0326     6.6883     6.8312     7.0451     7.4005     7.5639     7.7734
    0.0750   -14.5809   -14.1923   -13.9062   -13.6953   -13.4917   -13.4030    -6.6280    -6.2036    -5.6870    -5.4438    -5.1754    -5.0212    -4.8760    -4.4280    -4.3186    -3.8896    -3.8179    -2.8633    -2.8023    -2.7019    -2.5820    -2.5478    -2.2304    -2.0697    -1.9859    -1.6076    -1.2808     1.0253     1.0977     1.2362     1.5371     1.6621     1.8582     2.0565     2.4456     2.7833     2.8201     3.3124     3.5678     5.8139     5.8800     6.0929     6.6542     6.8217     7.1374     7.3351     7.7391     7.8276
    0.0813   -14.6931   -14.2897   -14.0166   -13.7491   -13.5378   -13.4682    -6.6061    -6.1468    -5.6511    -5.3787    -5.0841    -4.9524    -4.7787    -4.2854    -4.2340    -3.8070    -3.7399    -2.8859    -2.8031    -2.7927    -2.4985    -2.4714    -2.1363    -1.9958    -1.9215    -1.5663    -1.3689     0.9931     1.1324     1.2082     1.5416     1.6214     1.9060     1.9713     2.3611     2.7098     2.7202     3.2408     3.5262     5.6629     5.7371     6.2432     6.4853     6.9023     7.1946     7.2888     7.8261     7.9415
    0.0875   -14.8039   -14.3862   -14.1263   -13.8016   -13.5868   -13.5289    -6.6217    -6.1120    -5.5864    -5.3426    -5.0177    -4.8779    -4.6532    -4.1618    -4.0959    -3.7203    -3.6580    -2.9731    -2.8853    -2.7399    -2.4098    -2.3934    -2.0357    -1.9086    -1.8390    -1.5120    -1.4601     0.9751     1.1733     1.1970     1.5551     1.5849     1.8927     1.9628     2.2790     2.5996     2.6511     3.1599     3.4819     5.5128     5.5935     6.3158     6.3712     6.8831     7.2307     7.3203     7.9304     8.1137
    0.0938   -14.9122   -14.4808   -14.2337   -13.8531   -13.6394   -13.5832    -6.6683    -6.1051    -5.5008    -5.3352    -4.9517    -4.7884    -4.5168    -4.0236    -3.9469    -3.6297    -3.5725    -3.0621    -2.9782    -2.6759    -2.3173    -2.3162    -1.9324    -1.8120    -1.7404    -1.5528    -1.4481     0.9738     1.2050     1.2199     1.5520     1.5771     1.8259     2.0276     2.2011     2.4928     2.5767     3.0708     3.4344     5.3671     5.4531     6.1621     6.4506     6.7884     7.2594     7.3774     7.9460     8.1453
    0.1000   -15.0170   -14.5725   -14.3374   -13.9033   -13.6947   -13.6310    -6.7364    -6.1245    -5.4532    -5.2991    -4.8704    -4.6895    -4.3759    -3.8690    -3.8007    -3.5362    -3.4844    -3.1512    -3.0701    -2.6133    -2.2423    -2.2218    -1.8308    -1.7107    -1.6456    -1.6293    -1.3767     0.9904     1.2339     1.2714     1.5223     1.6068     1.7763     2.0994     2.1292     2.3936     2.4973     2.9746     3.3835     5.2274     5.3180     6.0144     6.4783     6.6716     7.2396     7.4213     7.9036     8.1323
    0.1063   -15.1173   -14.6605   -14.4364   -13.9521   -13.7499   -13.6739    -6.8173    -6.1644    -5.4929    -5.1815    -4.7735    -4.5852    -4.2333    -3.7067    -3.6586    -3.4409    -3.3946    -3.2390    -3.1598    -2.5549    -2.1741    -2.1243    -1.7369    -1.7354    -1.6101    -1.5123    -1.2979     1.0251     1.2836     1.3269     1.4973     1.6431     1.7488     2.0640     2.1766     2.3068     2.4138     2.8727     3.3291     5.0950     5.1893     5.8759     6.4390     6.5514     7.1672     7.4107     7.8547     8.1042
    0.1125   -15.2123   -14.7441   -14.5299   -13.9990   -13.8029   -13.7133    -6.9045    -6.2180    -5.5630    -5.0360    -4.6655    -4.4787    -4.0908    -3.5495    -3.5147    -3.3470    -3.3311    -3.2958    -3.2451    -2.5032    -2.1142    -2.0259    -1.8255    -1.6494    -1.5167    -1.3975    -1.2089     1.0770     1.3470     1.3854     1.4857     1.6847     1.7462     2.0057     2.2388     2.2568     2.3280     2.7669     3.2715     4.9706     5.0680     5.7471     6.3292     6.4334     7.0458     7.3397     7.7979     8.0991
    0.1188   -15.3013   -14.8225   -14.6172   -14.0437   -13.8526   -13.7496    -6.9933    -6.2797    -5.6421    -4.8822    -4.5508    -4.3721    -3.9496    -3.4138    -3.4101    -3.3572    -3.3321    -3.2443    -3.2092    -2.4607    -2.0651    -1.9289    -1.9089    -1.5755    -1.4374    -1.2918    -1.1071     1.1442     1.3933     1.4458     1.5172     1.7301     1.7700     1.9547     2.1964     2.2373     2.3415     2.6598     3.2113     4.8548     4.9546     5.6282     6.1582     6.3204     6.8826     7.2366     7.7271     8.1333
    0.1250   -15.3838   -14.8952   -14.6977   -14.0858   -13.8983   -13.7829    -7.0802    -6.3446    -5.7227    -4.7267    -4.4333    -4.2670    -3.8104    -3.4877    -3.4078    -3.2921    -3.1970    -3.1512    -3.1189    -2.4297    -2.0286    -1.9902    -1.8307    -1.5153    -1.3759    -1.1972    -0.9967     1.2242     1.4072     1.5067     1.5994     1.7778     1.8221     1.9149     2.1493     2.1847     2.4177     2.5586     3.1493     4.7479     4.8498     5.5193     5.9455     6.2130     6.6895     7.1274     7.6338     8.1762
    0.1313   -15.4590   -14.9616   -14.7710   -14.1247   -13.9396   -13.8132    -7.1626    -6.4094    -5.8011    -4.5739    -4.3167    -4.1649    -3.6743    -3.5599    -3.4787    -3.1785    -3.0600    -3.0425    -3.0302    -2.4116    -2.0638    -2.0061    -1.7370    -1.4689    -1.3315    -1.1142    -0.8857     1.3136     1.4194     1.5669     1.6866     1.8255     1.8603     1.9398     2.0630     2.2060     2.4170     2.5355     3.0868     4.6501     4.7537     5.4203     5.7119     6.1101     6.4837     7.0210     7.5151     8.2372
    0.1375   -15.5265   -15.0213   -14.8365   -14.1601   -13.9762   -13.8403    -7.2386    -6.4712    -5.8743    -4.4273    -4.2041    -4.0671    -3.6257    -3.5431    -3.5420    -3.0720    -2.9737    -2.9449    -2.8977    -2.4072    -2.1306    -1.9976    -1.6480    -1.4354    -1.3014    -1.0445    -0.7813     1.4045     1.4447     1.6248     1.7594     1.8469     1.8687     1.9837     2.0681     2.2586     2.3245     2.6051     3.0251     4.5616     4.6666     5.3303     5.4754     6.0070     6.2841     6.9164     7.3783     8.2120
    0.1438   -15.5859   -15.0738   -14.8940   -14.1917   -14.0081   -13.8642    -7.3068    -6.5281    -5.9407    -4.2904    -4.0987    -3.9751    -3.6843    -3.6001    -3.4145    -2.9725    -2.8941    -2.8647    -2.7653    -2.4165    -2.1899    -2.0023    -1.5653    -1.4125    -1.2834    -0.9892    -0.6882     1.4604     1.5158     1.6788     1.8186     1.8453     1.8735     1.9457     2.2249     2.2294     2.3374     2.6788     2.9661     4.4824     4.5888     5.2247     5.2729     5.8928     6.1137     6.8092     7.2388     8.1380
    0.1500   -15.6367   -15.1188   -14.9432   -14.2190   -14.0352   -13.8846    -7.3661    -6.5783    -5.9988    -4.1667    -4.0035    -3.8909    -3.7349    -3.6493    -3.2927    -2.8809    -2.8230    -2.7915    -2.6480    -2.4387    -2.2411    -2.0182    -1.4908    -1.3974    -1.2757    -0.9483    -0.6087     1.4988     1.6069     1.7267     1.8157     1.8413     1.8879     1.9744     2.1421     2.3871     2.4354     2.7469     2.9115     4.4123     4.5205     5.0265     5.1916     5.7585     5.9905     6.6952     7.1140     8.0744
